ID,SMILES,LogP
2091,C(CC)CCC(N)C,3.364
2092,C=1N(C(CC)=C(C(C=1)=O)O)CCO,1.038
2093,C(C1=CC=C(C=C1)OC)N2N=CN=C2,2.335
2094,C1=C2C(=CC=C1)SN(C3=CC=C(CC(=O)OCC)C=C3)C2=O,4.734
2095,CN1C(N(C(C2=C1NC(=O)N2)=O)C)=O,0.837
2096,N1C(C=2C(C)=CC=CC=2)=NC(=N)NC1=N,2.812
2097,C(C1=CC=CC=N1)CCCC(=O)N,2.014
2098,FC(F)(F)C1=CC=C2SC=3C(N(CCCN(C)C)C2=C1)=CC=CC=3,7.195
2099,C=1C=C(C=CC=1N2C(=CCC2=O)O)OC,1.175
2100,C(CC)CCC1=CNN=C1,4.452
2101,C1C(CC1)N=C2NC(=NCC)NC(Cl)=N2,4.185
2102,CN(C)C=1C=CC(=CC=1)OC,3.089
2103,CC(C)C1(CC(=C)Br)C(=O)N(C(NC1=O)=O)C,3.383
2104,N#CC(C1=CC=C(C=C1)Cl)=NOP(=O)(NC)OCC,4.407
2105,CC(C)CCN1C(=O)CC2CCC(C3CCC4(OC1C23OO4)C)C,5.616
2106,C1(C=C2CCC3C4C(C(CC4)C(=O)CO)(CC(O)C3C2(CC1)C)C)=O,3.39
2107,O=C(CNC(=O)CNC(=O)CN)O,-1.13
2108,N#CCCN(N)C1=NC2=CC(=CC=C2O1)SC,3.008
2109,C1(OC(C(O)C(C1O)O)CO)OC2=CC=C3C=CC=CC3=C2,2.084
2110,C(CN1C=CN=C1)(OCC=C)C2=CC=C(Cl)C=C2Cl,5.285
2111,C(CC(=O)OCC)C1=CC=CC=C1,3.96
2112,C1=C(F)C(=CC=C1F)F,4.03
2113,C=1C=2C=CC=CC=2C=C(O)C=1O,4.206
2114,C1(=CC=C(C=C1NC(C=2OC=CC=2)=O)C(N3C(=O)C4=C(C=CC=C4C3=O)N)=O)C,5.122
2115,OC(=O)C(NC(C(CCC(=O)N)N)=O)CC1=CC=CC=C1,0.814
2116,OCC(CNC(C1=C(C(C(=O)NCC(O)CO)=C(C(N(C(=O)CO)CCO)=C1I)I)I)=O)O,0.629
2117,C(C=1SC2=C(C=CC=C2)C=1Cl)(=O)NCC3CCCO3e,5.202
2118,C=1C=C(C2=CC=C(C=C2)Cl)C=CC=1Cl,6.666
2119,CC(C)(C#N)N=C1N=C(NC(=NCC)N1)Cl,3.685
2120,N=C1NC(=N)C(=CN1)CC=2C=C(C(=CC=2)SC)OC,3.229
2121,FC(F)(F)S(=O)(=O)NC1=CC=C(Cl)C=C1Cl,5.402
2122,C(CN(CCC)C(=O)NC)CC(NC(=O)C)C(NCC1=CC=CC=C1)=O,2.734
2123,ClC(Cl)C(NC(C(O)C=1C=CC(C=2C=CC=CC=2)=CC=1)CO)=O,3.916
2124,CCOC(=O)C(C(=O)OCC)=CC=1C(=CC=CC=1)C,4.846
2125,N=1C(=CC(N2C=1C=CC=C2C)=O)C,2.414
2126,C=1C(=CC=CC=1)OC(=O)N2C(=O)NC(C(F)=C2)=O,2.284
2127,C1CN(CCN1CC2CN=C(O2)N)C3=CC=CC=C3OC,2.444
2128,C=1C(Cl)=CC=C(COC(=O)N)C=1,3.398
2129,CC1(C2N(C(N1)=S)N(C3=CC=C(C=C3)Cl)C(N2)=S)C=4C=CC(Cl)=CC=4,6.362
2130,C(C=1C=CC(=CC=1)N)(=O)OCCCCCCC,5.982
2131,CC1(C)CC(C)CC(C=2C=CC=CC=2)(C1)N3CCCCC3,7.372
2132,C=1C=CC=NC=1C=CC2=CC=CC=N2,3.433
2133,O=S(=O)(CC#N)C,0.014
2134,O(C=1C=CC(=CC=1)OC(C(=O)OCC)C)C=2OC3=CC(Cl)=CC=C3N=2,5.866
2135,OC1(C2(CC(O)C3(F)C4(C(=CCC3C2CC1)CC(CC4)=O)C)C)C,4.124
2136,C=1(Cl)C(=CC=CC=1)C=CC(C)=O,4.139
2137,FC=1C=CC=C(OC(C)=O)C=1,3.392
2138,CC(C)N=C1NC(=NCCO)N=C(N1)Cl,2.404
2139,CC(C)CN(CC(C)C)C(=O)COC(=O)C=1C=CC=CC=1,5.274
2140,O1C(=N)C(C(C2=C(C(=C(C)C=C2C)COCC)C)C3=C(NN=C13)C)C#N,6.125
2141,C=1C=2C(C=CC=1)=NN(N=2)CCCCO,3.339
2142,C1CNCCN1N=O,1.116
2143,C(C)N(CC)CC(=O)OCN1C=2C(=C(N=CN=2)O)C=N1,1.6
2144,C1(=CC(OC)=C(C=C1OC)CC(C)N)CCC,4.519
2145,C=1C(=C(C(=CC=1)OC)C)OC,4.482
2146,N1C(=NC(=C1)C=2SC=CC=2)C3=CC=C(C=C3)OCC(O)CNCCOCC,2.514
2147,C(=NC=O)CC1=CC=C(C=C1)OC,3.171
2148,CN(C)C(OC(C)C)=O,3.674
2149,C=1C(=CC=C(OC(NC)=O)C=1)I,3.847
2150,CC(C)CO,2.328
2151,O1CC(C(CC)C1=O)CC=2N(C)C=NC=2,1.526
2152,CC(C)C(NC(=O)C(C(C)CC)NC(=O)C(NC(C(C(CC)C)N)=O)CC=1C=CC(O)=CC=1)C(=O)OG,1.883
2153,CC(C)(C)C=1C=CC(CCOC2=NC=NC=3C=CC=CC2=3)=CC=1,7.163
2154,CC1C(CC(CC1)C(=C)C)O,4.764
2155,CN(C)C(NS(=O)(=O)C1=CC=CC=C1)=O,1.948
2156,C(CCCC(=O)OC)CCCC=CCCCCCCCC,8.961
2157,CN1C(=O)N(CCCC)C2N(C)C(=O)N(CCCC)C12,4.28
2158,CN1C(CN=C1NC(=O)OC)C2=CC=CC=C2Cl,4.232
2159,CN(C)C(CC1=CC=CO1)=O,0.338
2160,O=S1(=O)C2=CC=C(Cl)C=C2NC(=N1)CCl,2.817
2161,C(=O)(NC)OC1=CC=C(C=C1)OC,3.893
2162,O(C(C1=CC=C2C(=C1)C=CC=N2)=O)CC,3.269
2163,C1CN(CCO1)C(=O)COC(=O)C2=CC=CC=C2,4.559
2164,O=S(=O)(C=1C=CC(=CC=1)Cl)NC(=O)NC,2.674
2165,S1C=CC=C1C2C(=C(N=C(SCC(=O)C3=CC=C(Cl)C=C3Cl)C2C#N)C)C(=O)C,6.304
2166,O=CC12C3CCC4(C(C=5CC(OC=5)=O)CCC4(O)C3CCC2(CC(CC1)OC6OCC(C(OC)C6)OC7CC(O)C(C(C)O7)O)O)C,-1.119
2167,C(CCCCCC)CCNCC1=CC=C(C=C1)C,7.062
2168,CC(C)C(=O)NS(=O)(=O)C=1C(=CC=CC=1)N,2.81
2169,N1C(NCC)=CC(N)=[N+]([O-])C1=N,1.293
2170,C=C=1C=CC=C(C(N)=O)C=1NCCO,2.921
2171,C1CC(CCC12N=C(C(=O)N2CC(=O)NC=3C=C4OCCOC4=CC=3)C=5C=CC=CC=5)C,6.344
2172,C=1(N2C=3NC=C(C(OCC)=O)C(C=3C(C)=N2)=NC=4C=CC(=CC=4)O)C=CC=CC=1,2.974
2173,C=12C=3C(=CC(Cl)=C(Cl)C=3)OC=1C(Cl)=C(C(Cl)=C2)Cl,4.939
2174,C1CCCCN1CCOC(NC2=CC=C(OCCCCCC)C=C2)=O,9.055
2175,FC(F)(F)C1=CC=C(C(NC(=O)C)=C1)F,3.236
2176,FC(F)(F)C=1C(=CC=CC=1)OC(C)=O,3.694
2177,C(CCCC)Cl,4.295
2178,C=1(SC=2C(=CC=CC=2)N=1)SC,4.414
2179,O(C=1C=CC=CC=1)C=2C(=CC(Cl)=CC=2)Cl,5.981
2180,C1COCCN1CC(NC2C=3C(OC2)=CC=CC=3)=O,2.309
2181,N(CCN1C(=NC=C1[N+]([O-])=O)C)C(OCC2=CC=CC=C2)=O,0.919
2182,C1C(F)C(N2C=C(C(NC2=O)=O)F)OC1CO,-0.156
2183,CC(C)(C)S(=O)(=O)CSP(OCC)(OCC)=S,4.076
2184,O=C1SC=2C(=C(C=CC=2CCNCCCOCCOCCC3=CC=CC=C3)O)N1,1.421
2185,FC(F)(F)S(=O)(=O)NC=1C=CC=C(C=1)OC,4.607
2186,FC(F)(F)C1=C(Cl)C=C(Cl)C(NC(C)=O)=C1,4.78
2187,C1COCCN1CC(NC2C=3C(=CC=C(C=3)C)OC2)=O,2.91
2188,OC1=C(C)C=C(C=C1C)O,2.189
2189,CC(C)C(C(OC)=O)C1=CC=CC=C1,5.531
2190,C1(Cl)C=C(Cl)C(C(C1Cl)Cl)Cl,5.326
2191,O=CC12C3CCC4(C(C=5CC(OC=5)=O)CCC4(O)C3CCC2(CC(CC1)OC6OCC(C(OC)C6)OC7CC(O)C(C(C)O7)O)O)C,-0.801
2192,C(O)(CN)C,0.827
2193,CC(C)(C)C(COC=1C=CC(C2=CC=CC=C2)=CC=1)OC(N3C=NC=C3)=O,6.155
2194,C12(C3(C4(C1(Cl)C5(C(C3(C5(Cl)C4(Cl)Cl)Cl)(Cl)C2(Cl)Cl)Cl)Cl)Cl)Cl,8.489
2195,C1CN(CCN1CC2OC(NC2)=N)C3=CC=CC=N3,2.179
2196,CC1(C)C(OC2OC(C(C(C2OC3OC(C(O)=O)C(O)C(O)C3O)O)O)C(O)=O)CCC4(C5C(C6(C)CCC7(CCC(C)(C(=O)O)CC7=C6CC5=O)C)(CCC14)C)C,6.206
2197,O=[N+](C=1N=CN(CC(NCCCO)=O)N=1)[O-],0.365
2198,C(N)(C=1C=COC=1)=O,1.261
2199,O=S1(=O)N=C2N(C=C(S2)C3=C(NC4=CC=CC=C34)C)CC1,2.943
2200,N1(C=2C(C3=CC=CC=C3C(=O)C=2)=O)CC1C,3.726
2201,C1(=CC=C(C(=C1)NC(=O)C)Cl)OCC(=O)O,2.48
2202,C1=2C(CCC3C1C(CC4(C)C(C#C)(O)C(CC34)F)CC)=CC(=CC=2)O,7.869
2203,C=12C(=NN(N=1)C(CCC(O)=O)C)C=CC=C2,2.06
2204,N1=C(C(=NC=C1)C#N)C#N,1.828
2205,C1CN(CCN1CCCN2C=3C(SC=4C2=CC=CC=4)=CC=C(C=3)Cl)CCO,5.753
2206,CC(C)NCC(O)COCC1=CC=CC=C1,2.616
2207,C1=CC(C(OC)=O)=CC=N1,2.163
2208,C1(=O)C=CC(=O)N1CCCC(OCC)=O,1.956
2209,O=[N+](C1=CC(=C(C(C(CC)C)=C1)O)C(C)CC)[O-],6.095
2210,CC(C)=CCCC(C)CC=O,5.734
2211,FC(F)(F)C=1C(NC(NC=1)=O)=O,1.425
2212,O(CC)P(OCC)(N=C1SCC(C)S1)=O,3.005
2213,CC(C)C(C1=CC=CC=C1)CNC,4.838
2214,O(CCC)P(OCCC)(SCC(=O)N1CCCCC1C)=S,5.328
2215,N1C=C(C(=O)OC)C2=C1C=CC=C2,5.005
2216,C1(=O)NC(NC(=O)C12CCCCC2)=O,2.364
2217,C1=C(C2=C(C=CC=N2)C(=C1)N)O,1.217
2218,CC1(C)=CC(NC(=O)C2=CC(=NN2C=3C=C(CN)C=CC=3)C)=CC=C1C4=CC=CC=C4S(=O)(=O)N,4.039
2219,C1CC(NC1=O)C2=CC=C[N+](=C2)[O-],0.591
2220,C1(=CC=CC=C1Br)O,3.492
2221,C12=CC=CC=C1C(=O)C(C(=O)O2)C3CC(CC4=CC=CC=C34)C=5C=CC(C=6C=CC(=CC=6)Br)=CC=5,22.701
2222,C(C(N)=O)C,-0.104
2223,NC=1C2=C(C3=C(CC(C(=O)CO)(C=C3C(=C2C(=C4C=1C(OC)=CC=C4)O)O)O)OC5OC(C)C(C(N6CCOCC6C#N)C5)O)O,-1.84
2224,C1=C(C)CC=2C=C(C(=C(C=2)N(C)C(CC(OC(C(C)N(C)C(=O)C)=O)C3(C(O3)C(C)C4OC(=O)NC(O)(C4)C(OC)C=C1)C)=O)Cl)OC,-1.32
2225,COCCCC1=CC=CC=C1,3.851
2226,FC(F)(F)C1=CC=C2C(=C1)C(C3=CC=CC=C3)N=CC(=O)N2,4.998
2227,C1=2C(C=CC=C1)=NN(N=2)C(C)(C)C(OCC)=O,4.275
2228,C=1N=CC(=CC=1)CCC(N)=O,1.219
2229,O=S(=O)(C1=CC=CS1)C,1.884
2230,C1CN(CCN1C2=CC=CC=C2OC)CCNC(=O)C3=CC=NC=N3,3.206
2231,C1(=C(CC)C=CC=C1CC)N(C(=O)CCl)COC,4.235
2232,N1=CNC=C2N=C(N=C12)C=3C(OC)=CC(=CC=3)S(=O)C,1.802
2233,C1(=CC(Cl)=CC(=C1Cl)Cl)C=2C(=C(C=CC=2Cl)Cl)Cl,8.578
2234,CN(C)C1=CC=CC=C1OC,3.186
2235,CCOP(OCC)(OC=1C=CC(SC)=CC=1)=S,5.541
2236,O=[N+](C1=CNN=C1C)[O-],2.493
2237,OC(=O)C(O)C=1C=CC=CC=1,1.361
2238,C=1(C)C(=C(OC)C(=C(O)C=1)OC)O,2.608
2239,CC(C)N(C(C)C)C(=O)COC(=O)C=1C=CC=CC=1,4.338
2240,CN(C)CCCN1C2=CC(Cl)=CC=C2CCC=3C1=CC=CC=3,7.116
2241,CC(C)(C)NCC(COC=1C2=C(C=CC=1)C(=O)CCC2)O,3.875
2242,O=[N+]([O-])C=1N(C)C=NC=1,1.558
2243,C1CC(CCN1C(=O)C(CC=2C=CC=CC=2)NC(CCCC)C(NC(C(CC(C(NCCN)=O)C(C)C)O)CC3CCCCC3)=O)OCOC,16.58
2244,C=1N=CC=C(C2=CNC(=NCC=C)C(C#N)=C2)C=1,5.235
2245,C1=CC=C(C)C=C1CC(=O)O,3.269
2246,O=S1(=O)C2=CC(NC(=O)C)=CC=C2C(C=3C1=CC=CC=3)=O,3.744
2247,C=1(C)C([N+]([O-])=O)=C(C)C=CC=1,4.294
2248,C1CN(CCN1C=2C=CC(C(=O)C)=CC=2)C(C=CC=3OC(=CC=3)C)=O,4.823
2249,C1=C(C)C(=CC(=C1)NC(=O)C)Cl,3.999
2250,N1=C2C=CC(NC(=O)C=3C=CC=CC=3)=CC2=NN1C,4.016
2251,C=1C=C([N+](=O)[O-])C(=CC=1)OC,2.776
2252,C=1(C(C=2C=C3C(=O)N(C=4C=CC=C(OC(=O)C)C=4)C(C3=CC=2)=O)=O)C=C5C(C(=O)N(C6=CC=CC(OC(C)=O)=C6)C5=O)=CC=1,7.24
2253,C=1C=C(C=CC=1N)C2=NC3=CC=C(C#N)C=C3S2,2.817
2254,C=1C2(C)C3(C(CC4(C(CC(C4(O)C(CCl)=O)C)C3CC=C2CC(=O)C=1)C)O)Fm,6.429
2255,C1=CC=C(C=NNC(=O)C=2C=CC=CC=2)C=C1,4.047
2256,O(C(C)=O)C1=CC=CC=C1I,4.369
2257,C=1C=CC=CC=1CC(NC=2C=CC(=CC=2)OC)=O,3.823
2258,ClC1=CC(Cl)=CC2=C1OC=3C=C(Cl)C=C(C2=3)Cl,7.88
2259,C1(C)=C(C(C)=O)C(=C(N1)C(COC(=O)C=2C(NC(C=3OC=CC=3)=O)=CC=CC=2)=O)C,6.028
2260,FC(F)(F)C1=CC=CC=C1NC(NC2CCCCC2)=O,2.081
2261,ClC1=C(C(=CC=C1)Cl)NC(=O)C,2.283
2262,C1(C2(C(CC1OC(C)=O)(C3CCC4CC(OC5OC(C)C(C(OC)C5)O)CCC4(C3CC2)C)O)C)C=6CC(=O)OC=6,5.708
2263,C1(=CC=C(C=C1)Cl)COC=2C(=CC(C3C(C(=O)OCC)C(=NC(=S)N3)C)=CC=2)OCC,6.945
2264,C1CN(CCC1)CC=2C=CC=C(C=2)OCCCNC(C=3C=CC=CC=3)=O,5.284
2265,C1=CC=C(C=C1)C(CCC)CCCCCCCCCC,5.255
2266,N1C(=CSC1=NC(N)=N)CSCCNC(NC#N)=NC,2.205
2267,C1(Cl)=C2C(=CC(Cl)=C1)OC3=CC(Cl)=CC(Cl)=C3O2,8.299
2268,O=S(=O)(C1=CC=CC=C1)OC=2C=CC=CC=2,5.35
2269,FC(F)C(=O)OCC,2.406
2270,ClC(Cl)(Cl)C(Cl)(Cl)Cl,5.63
2271,O=S(=O)(CC)C1=NO[N+]([O-])=C1C,2.153
2272,CC(C)(NC(N(C1=CC=CC=C1)C)=O)C2=CC=CC=C2,4.779
2273,C1(=CC=CN=C1)C(NC=2C=CC=CC=2)=O,3.179
2274,C12=C(C(O)=C3C=CC=CC3=C1O)C(=CC=C2)N=C,5.076
2275,C(C1=CC=CO1)(=O)OCC,2.919
2276,CC(=O)CCCCC,3.476
2277,C=1C=NC(=CC=1)CN,1.808
2278,C=12CCCC=1C(N3C(C=CC=C3)=N2)=O,2.884
2279,C1=2N=NN(C1=CC=CC=2)C(C(OCC)=O)CCCC,4.827
2280,N1(CCO[N+]([O-])=O)C(=NC=C1[N+]([O-])=O)C,2.525
2281,CC(C)C(NC1=CC=CC=C1)C(OCC=2C=CC=CC=2)=O,6.121
2282,C1CCCCC1CC(C(O)CC(C(NCCCN=C(NC#N)NC)=O)C(C)C)NC(=O)C(CCCC)OC(C(=O)N2CCC(CC2)OCOC)CC=3C=CC=CC=3,4.504
2283,C=1N=C(C)N=CC=1,2.117
2284,CC(C)(C)NOC1=C(C=C(C=C1[N+]([O-])=O)[N+](=O)[O-])[N+](=O)[O-],3.304
2285,O=S(=O)(NC(CCC(=O)NCCCCC)C(=O)O)C1=CC=CC=C1,1.416
2286,C1(=CC=CC(=C1NC2rNCCN2)Cl)C,4.587
2287,C1(=CC=CC=C1)N(C2=CC=CC=C2)N,4.494
2288,N1N=l(OC1=N)CCC,3.707
2289,CC(C)(C)C(OC(=O)N1C=NC=C1)COC=2C=CC(=CC=2)OCCCC,5.433
2290,C=1C=C(C)C=C2C=1C=C3C(C=CC=C3)=C2,7.0
2291,CC(C)C=1C=C(C=C(C(C)C)C=1)C2C(=O)C=3C(=CC=CC=3)C2=O,6.798
2292,C1C23C4C(CC5=CC=C(C(=C25)OC3C(C=C4)O)OC)NC1,1.239
2293,C1=C(C(=C(C=C1CCN)OC)OCCC)OC,3.345
2294,C=1C(Br)=CC=C2C=1CC=3C2=CC=C(C=3)ND,7.249
2295,C=1(C(C)=CC=CC=1C)NC(CNCC)=O,2.25
2296,CCCN(CCC)C(COC(=O)C=1C(=CC=CC=1)OC(=O)C)=O,3.673
2297,CC(C)NCC(COC=1C2=C(C=CC=1)NC(C)=C2)O,3.376
2298,CN(C)C(CC1=CC=CO1)=O,-3.945
2299,C(C(C1=CC=C(Br)C=C1)=O)OC(C2=CC(N3C(=O)C4C(C(C)C=CC4)=C3O)=CC=C2)=O,6.897
2300,CCN(CC)C(C1=CC=CC=C1)=O,2.521
2301,C=12C(=CC=NC=1C=CC=C2)C(O)C3N4CCC(C(C=C)C4)C3,4.706
2302,CC(C)(CC1=CC=C(C=C1)Cl)N,4.103
2303,C1CCCN1CCC(=O)C=2SC(=NC)NC=2C,3.127
2304,CN(C)C1C(C(OC2C(C(OC3OC(C)C(C(C)(C3)OC)O)C(C)C(OC(CC)C(C)(C(C(C)C(=O)C(C)CC2(C)O)OC(=O)C)O)=O)C)OC(C)C1)O,3.19
2305,N(O)=CC1=CC=C(C=C1)Cl,4.247
2306,C1=CC=C(C=C1)C(C2=CC=CC=C2)=NN,4.263
2307,C=1(C(O)=CC=C(C=1)CC(N)C(OC)=O)O,1.761
2308,CC1(C)(C)CCCCN1CCC(=O)C2=CC=CC=C2C,6.649
2309,C1=CC=CC(OP(OC2=CC=CC=C2)(OC3=CC=CC=C3C)=O)=C1,5.783
2310,C1(C=C2C(=CC1=N)N(C=3C(N2)=CC=CC=3)C=4C=CC(=CC=4)Cl)=NC=5C=CC(Cl)=CC=5,7.799
2311,C1=CC(NC(N1C2CC(N=[N+]=[N-])C(CO)O2)=O)=N,0.771
2312,C1(=CC=C(C)N1N=C2C=CC(N3CCN(CC3)C)=NN2)C,3.518
2313,CC(C)(C)NC(C1N(CCN(C(OCC2=CC=CC=C2)=O)C1)CC(CC(CC=3C=CC=CC=3)C(NC4C5=CC=CC=C5CC4O)=O)O)=O,4.317
2314,C1CN(CCN1)C=2C=CC(=CC=2)F,2.621
2315,FC(F)(CN1C=NC([N+](=O)[O-])=N1)C(=O)NCCCOC,1.717
2316,O=C(C(C=1C=CC(C2=CC=CC=C2)=CC=1)C(C3=CC=CC(=C3)F)O)O,4.354
2317,C(CC)CCCOCCO,3.383
2318,C(CC=O)C,2.268
2319,C=1C=CC=C(C(=O)NC)C=1C(=O)C2=CC=CC=C2,2.688
2320,O(C1N(C2CC(N=[N+]=[N-])C(O2)CO)C(=O)NC(C1(Cl)C)=O)C,2.849
2321,[O-][N+](=O)C1=NC=CN1CC(O)CO,0.482
2322,FC(F)(F)C1=CC=C(C(NC(=O)C)=C1)F,3.475
2323,C=1C=CC=CC=1NC(CN(C2=CC=CC=C2)C(C)=O)=O,3.522
2324,C(C)(C=1C(C(C(=NC=1C)SCC(NC2=CC=CC=C2)=O)C#N)C3=CC=CC=C3Cl)=O,6.495
2325,C=1(C=CC=CC=1)CC(C(=O)NC(CC2=CC=CC=C2)C(O)=O)NC(=O)C(CC=3C=CC=CC=3)NC(=O)C(CC4=CC=CC=C4)N,1.957
2326,O=S(=O)(N(C)C)N(SC(Cl)(Cl)F)C=1C=CC(=CC=1)C,5.433
2327,C(S(=O)C1=CC=C([N+]([O-])=O)C=N1)C,2.731
2328,C=C(N1C=CN=C1)C2=CC=CC=C2OCC=C,3.896
2329,C1CN1C2=C(C(=O)C(=C(C2=O)N3CCOCC3)N4CC4)N5CCOCC5,1.797
2330,C=1C=NC(OCCC)=CC=1,4.038
2331,N(C(=O)C)(CCOC(C1=CC=CC=C1)=O)C,2.684
2332,CCC(CC)(OC)C(NC(N)=O)=O,2.871
2333,C1(CC(C(C(C)O1)O)O)OC2C(OC(OC3C(OC(OC4CC5C(C)(C6CCC7(C(CCC7C=8CC(=O)OC=8)(C6CC5)O)C)CC4)CC3O)C)CC2O)C,15.228
2334,CC(C)(C1=CC=C(C2CCCC(C2)O)C(O)=C1)CCCCCCCC,8.439
2335,C(NC(CC=1N=CN(C(OCC)=O)C=1)C(N2CCCC2C(N)=O)O)(=O)C=3NC(=O)CC=3,0.009
2336,C=1C=C2CC3C4C5(C2=C(C=1O)OC5C(OC(C)=O)C=C4)CCN3C,3.51
2337,N1C(=NC(=C1)C=2SC=CC=2)C3=CC=C(C=C3)OCC(O)CNCCC4=CC=NC=C4,4.32
2338,C1=CC=C(C([N+](=O)[O-])=C1)C=NNC(N)=N,1.915
2339,CN(C(=O)C)N=NC=1C=CC(=CC=1)OC,4.5
2340,OCC1C(C(C(O1)N2C=NC3=C2N=C(NC3=N)F)O)O,0.884
2341,O=C(CN(C(=O)CCl)C1=CC=CC=C1)OCC,3.129
2342,C(N(C(C(=O)NC=1g(C)=CC=CC=1C)CC)CCC)C,6.777
2343,O(C)P(OC)(=O)CC(=O)C,0.87
2344,O=C(O)C1=CC=C(CC(=O)N)C=C1,2.396
2345,O=S(=O)(C1=CC=C([N+]([O-])=O)C=C1[N+](=O)[O-])C2=CC=C(N)C=C2,2.19
2346,C1(=CC=CC=C1NC=2NCCN=2)C,2.876
2347,C1=NC(C2=NC=3C(=CC=CC=3)N2C(=O)OCC)=CS1,4.655
2348,C1=C(OC(C=C2C(N(C(=O)S2)CC=C)=O)=C1)[N+]([O-])=O,3.592
2349,CC(C)CCO,2.697
2350,O=C1C=2C(C(=O)N(CC)C1=O)=CC(OC)=CC=2OC,2.198
2351,N1C(=CC=C1)C(=O)O,1.941
2352,O=S1(=O)NC(SCC(=O)O)=NC2=CC(=CC=C12)OC,1.346
2353,c1ccccc1N=C2N=C(N(C)CCO)NC(=Nc3ccc(C=Cc4ccc(N=C5NC(=Nc6ccccc6)NC(N(CCO)C)=N5)cc4S(=O)(=O)O)c(S(=O)(=O)O)c3)N2,4.546
2354,N(C1=CC=CC(=C1OC)C)C(C)=O,2.962
2355,C1=C2C(=CC=C1)SN(C3=CC=C(C=C3)OCCCC(=O)OCC)C2=O,5.407
2356,C=1(N(C([N+](=O)[O-])=CN=1)CCOC(N)=O)C,1.203
2357,C=1C=C(C=CC=1OC2=CC=CC=C2)N,3.539
2358,[N+]([O-])(C=1C=C2C(=CC=1)C=CC=N2)=O,3.252
2359,C(CC)CCC1(C(NC(=O)CC1)=O)C2=CC=NC=C2,3.505
2360,C=1(C=2C(=CC=C(Cl)C=2)N(CC)C(CN=1)=O)C3=CC=CC=C3,5.339
2361,O=S(=O)(C1=CC=C(C=C1)N)N=C2NN=C(C=C2)OC,2.71
2362,OC(CC1=CC=CC=C1OC2=CC=C(Cl)C=C2Cl)=O,6.102
2363,CCOC1C(C)C2CCC(C3C24C(OC(OO4)(C)CC3)O1)COC5OC(C(C(O)C5O)O)C(=O)O,2.225
2364,C1CC(CCC1)NC(NC2CCCCC2)=S,5.356
2365,ClC(Cl)C(=O)N1C2=CC=CC=C2OCC1C,4.244
2366,C(C=1C=C([N+](=O)[O-])C(C)=C([N+](=O)[O-])C=1)(N)=O,2.31
2367,C1=2C(CC=3C1=CC=CC=3)=CC(NC(=O)N(C)OC)=CC=2,4.937
2368,c1cc(ccc1NC(c2ccc(cc2)N)=O)C(Nc3ccc(c(c3)S(=O)(=O)O)C=Cc4ccc(cc4S(=O)(=O)O)C(Nc5ccc(cc5)N)=O)=O,0.761
2369,C(CCCCCCC=CCC=CCCCCC)C(O)=O,8.435
2370,C1CCCC1(NC(=O)N(N=OCCCl)C(=O)O,5.387
2371,C=1(C2=C(C=CC=1)C(C)=CC=N2)O,4.202
2372,C1(C(C(C(C(CC)OC(=O)C(C)C(C(C)C(OC2C(C(CC(O2)C)NC)O)C(CC1C)(C)O)OC3OC(C)C(C(C3)(C)OC)O)(O)C)O)C)=O,2.473
2373,C1(=CC=CC=C1)OC2=CC(C(=O)N(CCCCC)C)=CC=C2,5.92
2374,C=1(N2C(=CC(=O)N2)C)N=C(C=C(C)N=1)C,2.708
2375,C(=O)(N)C1=CC=CC=C1C(=O)N,-0.325
2376,C(CCC(CCCCC)C=1C=CC=CC=1)CC,9.094
2377,O=S(=O)(C=1SC=2SCCC(O)C=2C=1)N,2.229
2378,C=1C(C(=O)N)=CC(C(N)=O)=CC=1,1.463
2379,C=1(C=CC=CC=1)OCC(O)COC(C(C)=C)=O,1.529
2380,C=1C=CC=C(C=1Cl)OCC2CNC(=N)O2,3.255
2381,CC=1(C)C(OCC2=CC=CC=C2)=CC=C(CC(=O)O)C=1,6.863
2382,C12C(CC(C3C1OC(C3=C)=O)O)(COC(C2=C)=O)C=C,1.533
2383,N1=C(C(=O)O)C=C(C)O1,1.937
2384,C1=CC(C(CC)=O)=CC=N1,2.018
2385,C=1C=C(C=CC=1)C(C2=CC=CC=C2)(O)C3CCN(CC3)CCCC(=O)C=4C=CC=CC=4,6.003
2386,C1CC(CCC1)C(=S)NCCN2CCN(CC2)C3=CC=CC=C3OC,5.078
2387,C=1C=CC=CC=1CN2C(=O)N=[N+]([O-])C=C2,1.845
2388,O=C(C1=CC=C(C=C1)NC(=O)C)C,3.039
2389,O=C(O)CN(CC(=O)O)CC(NC=1C(C)=CC=C(C=1C)Br)=O,1.295
2390,CSC1C(CSC2=NC(C)=C(C(C3=CC=CC=C3)=C2C#N)C(OCC)=O)(O)CCCC1,7.431
2391,CC(C)NCC(O)COCC=CC=1C=CC=CC=1,3.556
2392,C=1N=CC=C(CCCCCN)C=1,2.737
2393,C(NCC(O)CO)(=O)CN1C=CN=C1[N+]([O-])=O,0.207
2394,O=S(=O)(C1=CC=C(C=C1)Cl)N2CCCCC2C(=O)NC3=C(N(C)N(C4=CC=CC=C4)C3=O)C,5.433
2395,O(C(C)=O)C1=CC=CC=C1[N+](=O)[O-],2.96
2396,C1CCCCN1C(=O)C2=CC=C(C)C=C2,3.939
