smiles	logP	logS	logP-err	logS-err	logP-warn	logS-warn
CCOc1ccc(N)cc1	1.64	-1.27	0.40	1.12			CCOc1ccc(N)cc1
O=N(=O)c1ccc(CCBr)cc1	3.12	-4.10	0.80	1.59			O=[N+]([O-])c1ccc(CCBr)cc1
CC(C)(C)OC(=O)C=Cc1ccc(N(=O)=O)o1	3.12	-3.81	0.38	0.72			CC(C)(C)OC(=O)C=Cc1ccc([N+](=O)[O-])o1
NC(=S)c1ccccc1	1.64	-2.06	0.38	0.89			NC(=S)c1ccccc1
Cc1ncc(N(=O)=O)n1CCCS(C)(=O)=O	-0.35	-1.93	0.36	1.04			Cc1ncc([N+](=O)[O-])n1CCCS(C)(=O)=O
CCOc1ccc(NC(=O)CSC2Nc4ccsc4C(=O)N2c3ccccc3)cc1	3.87	-5.19	0.73	1.47			CCOc1ccc(NC(=O)CSc2nc3ccsc3c(=O)n2-c2ccccc2)cc1
O=C1c2ccc(Oc3cccc(Oc4ccc5c(c4)C(=O)N(CCO)C5=O)c3)cc2C(=O)N1CCO	1.85	-4.74	0.79	1.36			O=C1c2ccc(Oc3cccc(Oc4ccc5c(c4)C(=O)N(CCO)C5=O)c3)cc2C(=O)N1CCO
NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O	-0.22	-2.93	0.56	1.51			NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O
CCOC(=O)C(C)OC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1N(=O)=O	4.37	-6.18	0.42	1.54			CCOC(=O)C(C)OC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-]
C=CC(=O)OC	0.67	-0.13	0.38	0.70			C=CC(=O)OC
CCN(CC)CCOC(=O)C=Cc1ccc(F)cc1	3.63	-3.19	0.44	2.07			CCN(CC)CCOC(=O)C=Cc1ccc(F)cc1
Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1	2.39	-3.05	0.61	1.13			Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1
C#CCOc1cc(OC(=O)N(CC)CC)c(Cl)cc1Cl	4.24	-4.36	0.50	0.74			C#CCOc1cc(OC(=O)N(CC)CC)c(Cl)cc1Cl
O=C(O)CCC(Nc1ccc(Br)cc1)C(=O)O	2.06	-2.96	0.77	1.61			O=C(O)CCC(Nc1ccc(Br)cc1)C(=O)O
COC(=O)CNC(=O)c1ccc(N)cc1	0.11	-2.08	0.63	0.82			COC(=O)CNC(=O)c1ccc(N)cc1
O=C(O)C(=O)N=C1NC(c2ccc3c(c2)OCCO3)CS1	1.21	-2.85	0.76	1.28			O=C(O)C(=O)N=c1[nH]c(-c2ccc3c(c2)OCCO3)cs1
CCCNC	0.67	0.47	0.36	0.68			CCCNC
c1ccc2cc3sccc3cc2c1	4.36	-4.10	0.30	0.61			c1ccc2cc3sccc3cc2c1
CCCCCCCCCCCC(=O)C(C)(C)C(=O)N(C)c1c(OC)cc(OC)cc1OC	6.30	-6.39	0.69	1.44			CCCCCCCCCCCC(=O)C(C)(C)C(=O)N(C)c1c(OC)cc(OC)cc1OC
CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)O	-0.41	-3.25	0.57	1.69			CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)O
CCCCSC1=CC(=O)c2ccccc2C1=O	3.66	-3.81	0.72	1.36			CCCCSC1=CC(=O)c2ccccc2C1=O
C#CCOc1cc(OC(=O)N2CCC(F)(F)C2)c(Cl)cc1Cl	3.64	-4.58	0.32	0.89			C#CCOc1cc(OC(=O)N2CCC(F)(F)C2)c(Cl)cc1Cl
Cc1cnc(Cl)cn1	1.08	-0.09	0.30	0.84			Cc1cnc(Cl)cn1
c1ccc(CSc2ncn[nH]2)cc1	2.07	-2.12	0.56	1.33			c1ccc(CSc2ncn[nH]2)cc1
CCC(C)NC(=O)C(=Cc1ccccc1)Cc2ccccc2	4.27	-5.27	0.37	1.27			CCC(C)NC(=O)C(=Cc1ccccc1)Cc1ccccc1
CCCCCCN1CCC(=O)C(O)C1CC	2.40	-1.52	0.69	1.20			CCCCCCn1ccc(=O)c(O)c1CC
error in Cc1ccc(C(=O)N(NC(=O)c2ccccc2)C(C)(C)C)cc1C.Cc1ccnc2ccccc12 Can't do disconnected structures.
C=CCn1cncc1N(=O)=O	0.57	-1.95	0.59	0.79			C=CCn1cncc1[N+](=O)[O-]
Nc1ccc(S(=O)(=O)Nc2cccnc2Cl)cc1	1.48	-3.50	0.31	1.00			Nc1ccc(S(=O)(=O)Nc2cccnc2Cl)cc1
CC(C)C(NC(=O)C(Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)O	2.30	-3.76	0.54	1.61			CC(C)C(NC(=O)C(Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)O
O=NN(Cc1ccccc1)c2ccccc2	3.39	-3.60	0.38	0.63			O=NN(Cc1ccccc1)c1ccccc1
CS(=O)(=O)NCCN1CCc2cccc(Cl)c2CC1	1.59	-3.88	0.60	1.22			CS(=O)(=O)NCCN1CCc2cccc(Cl)c2CC1
N=C1NCNc3c1ncn3C2OC(CO)CC2O	-1.58	-1.42	0.72	0.90			N=c1[nH]cnc2c1ncn2C1OC(CO)CC1O
c1ccc(c2ncnc3ccccc23)cc1	3.10	-3.67	0.31	0.88			c1ccc(-c2ncnc3ccccc23)cc1
Oc1ccccc1	1.39	-0.31	0.55	0.78			Oc1ccccc1
CCc1ccc(N)cc1	1.91	-1.55	0.32	0.93			CCc1ccc(N)cc1
CC(=O)N(C)N=Nc1ccc(C)cc1	2.82	-2.94	0.41	0.97			CC(=O)N(C)N=Nc1ccc(C)cc1
NCCCCN	-0.98	0.43	0.36	0.93			NCCCCN
O=C(c1ccccc1)c2ccncc2	1.84	-1.76	0.30	1.24			O=C(c1ccccc1)c1ccncc1
Cc1ccc(C)c(Oc2cccc(C(=O)NC(C)C)c2)c1	4.35	-4.83	0.33	0.86			Cc1ccc(C)c(Oc2cccc(C(=O)NC(C)C)c2)c1
CCC1CC(=O)SS1	2.11	-1.61	0.49	1.08			CCc1cc(=O)ss1
CC(=O)C1CCC2C3CC=C4CC(=O)CCC4(C)C3CCC12C	3.89	-4.61	0.38	0.64			CC(=O)C1CCC2C3CC=C4CC(=O)CCC4(C)C3CCC12C
Cc1c(Cl)cccc1Cl	3.96	-3.60	0.30	0.80			Cc1c(Cl)cccc1Cl
Clc1cc(Cl)cc(c2cccc(Cl)c2Cl)c1	6.22	-6.95	0.30	0.61			Clc1cc(Cl)cc(-c2cccc(Cl)c2Cl)c1
NS(=O)(=O)Nc1ccccc1	0.43	-1.32	0.39	0.71			NS(=O)(=O)Nc1ccccc1
Clc1ccc(Oc2cc(Cl)c(Cl)cc2Cl)c(Cl)c1	6.42	-7.09	0.30	1.06			Clc1ccc(Oc2cc(Cl)c(Cl)cc2Cl)c(Cl)c1
CC(C)=CC1C(C(=O)OCc2coc(Cc3ccccc3)c2)C1(C)C	5.38	-4.71	0.77	0.72			CC(C)=CC1C(C(=O)OCc2coc(Cc3ccccc3)c2)C1(C)C
O=C(O)CSC1=NS(=O)(=O)c2ccc(C(F)(F)F)cc2N1	1.57	-3.50	0.36	2.39		logS	O=C(O)CSC1=NS(=O)(=O)c2ccc(C(F)(F)F)cc2N1
Cc1ccc(NC(=O)N(C)C)cc1Cl	2.25	-2.87	0.43	0.82			Cc1ccc(NC(=O)N(C)C)cc1Cl
Clc1ccc(Oc2c(Cl)c(Cl)cc(Cl)c2Cl)cc1Cl	6.83	-7.75	0.30	1.08			Clc1ccc(Oc2c(Cl)c(Cl)cc(Cl)c2Cl)cc1Cl
COc1cc(OC)c(Cl)c(CC2CNC(=N)NC2=N)c1Cl	1.85	-3.64	0.78	1.36			COc1cc(OC)c(Cl)c(Cc2c[nH]c(=N)[nH]c2=N)c1Cl
CSC(C)=NOC(=O)N(C)SN(C)C(=O)N(C)C	1.24	-1.98	0.70	0.93			CSC(C)=NOC(=O)N(C)SN(C)C(=O)N(C)C
Clc1cc2c(Cl)ccc(Cl)c2c(Cl)c1Cl	6.34	-7.32	0.43	1.14			Clc1cc2c(Cl)ccc(Cl)c2c(Cl)c1Cl
c1ccc2scnc2c1	2.13	-2.25	0.40	1.14			c1ccc2scnc2c1
CCC1C(C)Nc2cccc(C)n2C1=O	3.10	-2.25	0.71	0.93			CCc1c(C)nc2cccc(C)n2c1=O
O=C(O)COc1ccccc1O	0.74	-1.46	0.31	0.77			O=C(O)COc1ccccc1O
CCCCc1ccc(NC(C)=O)c(N(=O)=O)c1	2.81	-4.01	0.51	1.51			CCCCc1ccc(NC(C)=O)c([N+](=O)[O-])c1
COc1cc(S(C)=O)ccc1c2cn3ccncc3n2	0.93	-2.53	0.35	2.39		logS	COc1cc(S(C)=O)ccc1-c1cn2ccncc2n1
NC(=O)C(=Cc1cccc(F)c1)C(N)=O	0.12	-2.95	0.39	1.59			NC(=O)C(=Cc1cccc(F)c1)C(N)=O
NC(=O)NS(=O)(=O)Cc1ccccc1	0.29	-1.94	0.36	0.86			NC(=O)NS(=O)(=O)Cc1ccccc1
O=P(Oc1ccccc1)(Oc2ccccc2)Oc3ccccc3	4.16	-3.98	0.34	1.02			O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1
CCCCCC1CC(C(=O)NC(C(C)O)C2OC(SC)C(O)C(O)C2O)N(C)C1	1.38	-1.82	0.32	1.48			CCCCCC1CC(C(=O)NC(C(C)O)C2OC(SC)C(O)C(O)C2O)N(C)C1
CC1CCC2CC(=O)N(C)C3OC4(C)CCC1C23OO4	2.46	-1.30	0.40	2.39		logS	CC1CCC2CC(=O)N(C)C3OC4(C)CCC1C23OO4
CC(=O)N=C1CNCCN1	-0.99	-1.38	0.72	0.93			CC(=O)N=c1cncc[nH]1
C=CCc1ccccc1	3.53	-3.46	0.54	0.63			C=CCc1ccccc1
CC(C)c1cnc(c2ccccc2)c(c3ccccc3)n1	4.73	-4.98	0.39	0.89			CC(C)c1cnc(-c2ccccc2)c(-c2ccccc2)n1
CC(=O)C(=Cc1ccc(C)cc1)C(C)=O	2.06	-3.74	0.30	1.51			CC(=O)C(=Cc1ccc(C)cc1)C(C)=O
CC(=O)Nc1cc(C)c(Br)c(C)c1	2.44	-4.01	0.31	1.61			CC(=O)Nc1cc(C)c(Br)c(C)c1
CN1C(CSCC(F)(F)F)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O	2.13	-3.22	0.70	0.95			CN1C(CSCC(F)(F)F)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O
COC14C(=COC(N)=O)c5c(O)c(N)c(C)c(O)c5N1CC2C4N2C(=O)OCc3ccccc3	1.87	-2.74	0.70	1.12			COC12C(=COC(N)=O)c3c(O)c(N)c(C)c(O)c3N1CC1C2N1C(=O)OCc1ccccc1
C=CCN(N=O)C(=O)NCCCC(NC(C)=O)C(=O)NCc1ccccc1	1.25	-3.83	0.34	1.88			C=CCN(N=O)C(=O)NCCCC(NC(C)=O)C(=O)NCc1ccccc1
CS(=O)(=O)Nc1ccc(CCOCCCS(=O)(=O)CCNCCc2ccc(O)c3NC(=O)Sc23)cc1	1.66	-4.33	0.82	1.45			CS(=O)(=O)Nc1ccc(CCOCCCS(=O)(=O)CCNCCc2ccc(O)c3[nH]c(=O)sc23)cc1
COc1ccc(C(O)(Cn2ccnc2)c3ccc(c4ccncc4)cc3)cc1	2.98	-4.96	0.48	0.79			COc1ccc(C(O)(Cn2ccnc2)c2ccc(-c3ccncc3)cc2)cc1
COP(=S)(OC)Oc1nc(Cl)c(Cl)cc1Cl	4.30	-4.99	0.48	0.64			COP(=S)(OC)Oc1nc(Cl)c(Cl)cc1Cl
Cc1cccnc1	1.11	0.33	0.30	0.68			Cc1cccnc1
O=C1OC2(CCCC2)c3ccccc13	2.55	-3.20	0.64	1.02			O=C1OC2(CCCC2)c2ccccc21
OCCCCCc1ccncc1	1.51	-1.21	0.30	0.90			OCCCCCc1ccncc1
CNC(=O)Oc1ccc(C(C)=O)cc1	1.02	-2.45	0.31	0.63			CNC(=O)Oc1ccc(C(C)=O)cc1
O=C(O)c1ccsc1	1.56	-2.01	0.32	0.88			O=C(O)c1ccsc1
c1ccc(Cc2nn[nH]n2)cc1	1.29	-0.97	0.57	0.89			c1ccc(Cc2nn[nH]n2)cc1
COc1ccc(C(C)=O)c(OC)c1OC	1.64	-2.32	0.53	1.24			COc1ccc(C(C)=O)c(OC)c1OC
Clc1ccc3c(c1)Oc2ccccc2O3	4.86	-4.00	0.31	0.91			Clc1ccc2c(c1)Oc1ccccc1O2
CCCCC1=NS(=O)(=O)c2cc(Cl)ccc2N1	2.46	-3.45	0.51	2.39		logS	CCCCC1=NS(=O)(=O)c2cc(Cl)ccc2N1
CCC1OCC(COc2ccc(Oc3ccccc3)cc2)O1	3.53	-4.84	0.49	1.63			CCC1OCC(COc2ccc(Oc3ccccc3)cc2)O1
c1cnc(N2CCNCC2)nc1	0.32	-1.51	0.48	1.11			c1cnc(N2CCNCC2)nc1
CC(C)c1cccc(OCC(=O)O)c1	2.64	-2.48	0.30	1.05			CC(C)c1cccc(OCC(=O)O)c1
CC(Sc1nnc(c3ccc(F)cc3)n1c2ccccc2)C(N)=O	2.39	-4.30	0.62	1.01			CC(Sc1nnc(-c2ccc(F)cc2)n1-c1ccccc1)C(N)=O
CC(C)C1NNC(SCC(=O)c2ccccc2)N(N)C1=O	0.70	-2.97	0.81	2.39		logS	CC(C)c1nnc(SCC(=O)c2ccccc2)n(N)c1=O
CC(=O)Nc1ccc(C)cc1N(=O)=O	1.10	-2.78	0.30	0.70			CC(=O)Nc1ccc(C)cc1[N+](=O)[O-]
N#Cc1ccc(OC(=O)CNC(=O)c2ccccc2)cc1	2.15	-4.25	0.30	0.83			N#Cc1ccc(OC(=O)CNC(=O)c2ccccc2)cc1
CCC(C)C(N)C(=O)NC(C=O)C(=O)NC(CC(C)C)C(O)O	-0.03	-1.52	0.69	1.32			CCC(C)C(N)C(=O)NC(C=O)C(=O)NC(CC(C)C)C(O)O
C#CCOc1c(Cl)cc(N=CNOc2ccccc2)cc1Cl	4.11	-4.82	0.65	2.39		logS	C#CCOc1c(Cl)cc(N=CNOc2ccccc2)cc1Cl
NC(=O)OCc1ccccc1	0.92	-1.70	0.38	0.88			NC(=O)OCc1ccccc1
CN(Cc1ccccc1)(Cl)(C)CCCS(=O)(O[NH4])=O	-0.55	-4.82	1.20	2.39	logP	logS	C[N+](C)(CCCS(=O)(=O)[O-])Cc1ccccc1
COC(=O)C1=C(C)N=C(C)C(C(=O)OCC(C)C)C1c2ccccc2N(=O)=O	3.61	-4.86	0.75	1.17			COC(=O)C1=C(C)N=C(C)C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-]
Cc1ccc(N(=O)=O)cc1O	2.28	-1.78	0.31	0.75			Cc1ccc([N+](=O)[O-])cc1O
COc1ccc(C=CC(=O)O)cc1	2.37	-2.51	0.30	1.31			COc1ccc(C=CC(=O)O)cc1
CC(=O)N(C)c1ccc(N(=O)=O)cc1	1.38	-2.15	0.60	1.01			CC(=O)N(C)c1ccc([N+](=O)[O-])cc1
Cc1ccc(C(=CCN2CCCC2)c3ccccn3)cc1	4.14	-3.72	0.77	1.40			Cc1ccc(C(=CCN2CCCC2)c2ccccn2)cc1
CCCCCNc1ccc(C(=O)OCCN(C)C)cc1	3.93	-3.05	0.32	1.00			CCCCCNc1ccc(C(=O)OCCN(C)C)cc1
CSc1cccc(N)c1	1.33	-1.72	0.30	1.03			CSc1cccc(N)c1
CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c2ccccc2Br	3.25	-5.14	0.30	1.13			CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1ccccc1Br
CCC1NC(=N)NC(=N)C1c2ccc(Cl)cc2	2.08	-3.47	0.61	1.67			CCc1[nH]c(=N)[nH]c(=N)c1-c1ccc(Cl)cc1
CN(C)C(=O)c1cc(N2CC2)c(N(=O)=O)cc1N(=O)=O	0.72	-2.67	0.42	1.46			CN(C)C(=O)c1cc(N2CC2)c([N+](=O)[O-])cc1[N+](=O)[O-]
CSc1ccc(C=NN=C(N)NN)cc1	0.62	-2.78	0.32	2.39		logS	CSc1ccc(C=NN=C(N)NN)cc1
CCCCc1ccc(Cn2cncn2)cc1	3.05	-2.93	0.60	0.92			CCCCc1ccc(Cn2cncn2)cc1
CC(C)Cc1ccc(CC(=O)O)cc1	3.27	-3.47	0.36	0.73			CC(C)Cc1ccc(CC(=O)O)cc1
O=Cc1ccsc1	1.05	-1.96	0.30	0.70			O=Cc1ccsc1
Cc1cccc(OC2OC(CO)C(O)C(O)C2O)c1	-0.32	-0.92	0.30	0.73			Cc1cccc(OC2OC(CO)C(O)C(O)C2O)c1
CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O	3.95	-5.26	0.60	0.89			CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O
CC(C)(C)C(O)C(=Cc1ccc(Cl)cc1Cl)n2cncn2	4.28	-4.15	0.37	0.73			CC(C)(C)C(O)C(=Cc1ccc(Cl)cc1Cl)n1cncn1
Cc1ccc(C)c(Cc2ccccc2)c1	5.20	-5.68	0.51	1.24			Cc1ccc(C)c(Cc2ccccc2)c1
CCCCCCC(CCCC)c1ccccc1	7.78	-6.91	0.30	0.84			CCCCCCC(CCCC)c1ccccc1
COC(=O)c1ccc(Br)c(S(=O)(=O)N2CCCCC2)c1	2.32	-3.60	0.73	1.53			COC(=O)c1ccc(Br)c(S(=O)(=O)N2CCCCC2)c1
O=C1C=C(N2CCCC2)C(=O)c3ccccc13	2.36	-1.88	0.43	1.45			O=C1C=C(N2CCCC2)C(=O)c2ccccc21
Cc1cc(C)c(C)c(C)c1	4.06	-3.64	0.30	0.70			Cc1cc(C)c(C)c(C)c1
CC(=O)c1cnccn1	-0.15	-0.07	0.51	1.00			CC(=O)c1cnccn1
COc1ccccc1OCC(O)CNC(C)C	1.43	-2.15	0.44	1.03			COc1ccccc1OCC(O)CNC(C)C
O=C1Nc2ccccc2S1	1.31	-1.78	0.73	1.05			O=c1[nH]c2ccccc2s1
CC(C)NCC(O)c1ccc(S(C)(=O)=O)cc1	0.19	-2.42	0.55	1.66			CC(C)NCC(O)c1ccc(S(C)(=O)=O)cc1
CCCOCCN(C(=O)CCl)c1c(CC)cccc1CC	4.30	-4.31	0.36	0.61			CCCOCCN(C(=O)CCl)c1c(CC)cccc1CC
Cc1ccc(N)c(N)c1	0.25	-0.50	0.30	0.79			Cc1ccc(N)c(N)c1
CC(=O)Nc1ccccc1C	1.37	-1.96	0.30	0.63			CC(=O)Nc1ccccc1C
O=C(O)CCC(=O)c1ccccc1	1.30	-1.93	0.36	0.98			O=C(O)CCC(=O)c1ccccc1
O=N(=O)c1cccc2c(N(=O)=O)cccc12	2.68	-3.96	0.40	1.19			O=[N+]([O-])c1cccc2c([N+](=O)[O-])cccc12
Cc1ccc(O)c(N(=O)=O)c1	2.29	-1.83	0.30	0.71			Cc1ccc(O)c([N+](=O)[O-])c1
COC(=O)CCCC(=O)OC	0.59	-0.86	0.40	0.68			COC(=O)CCCC(=O)OC
Nc1ccc(C(=O)Oc2ccccc2F)c(O)c1	3.22	-3.23	0.31	1.71			Nc1ccc(C(=O)Oc2ccccc2F)c(O)c1
COCCN(CCOC)N=O	-0.09	-0.97	0.48	0.88			COCCN(CCOC)N=O
CC(C)(C)c1ccc(C(=O)NN=Cc2ccccc2O)cc1	4.67	-4.88	0.47	2.39		logS	CC(C)(C)c1ccc(C(=O)NN=Cc2ccccc2O)cc1
CNC(=O)Oc1ccccc1F	1.34	-1.87	0.34	0.73			CNC(=O)Oc1ccccc1F
CCC1SSC(=S)C1c2ccccc2	4.38	-4.84	0.69	1.25			CCc1ssc(=S)c1-c1ccccc1
CCCc1ccc(OCC(OC(=S)n2ccnc2)C(C)(C)C)cc1	5.47	-5.19	0.33	1.24			CCCc1ccc(OCC(OC(=S)n2ccnc2)C(C)(C)C)cc1
CCCc1cccc(C)c1	4.37	-3.89	0.30	0.62			CCCc1cccc(C)c1
CC(=O)NC(CCCCN)C(N)=O	-0.94	-1.10	0.48	1.42			CC(=O)NC(CCCCN)C(N)=O
CS(=O)c1sccc1Br	1.64	-2.44	0.49	1.32			CS(=O)c1sccc1Br
CNC(=O)Oc1ccc(C=O)cc1	0.82	-2.13	0.32	0.71			CNC(=O)Oc1ccc(C=O)cc1
CCn1cc(c2nc3c4c(C)c(C)sc4ncn3n2)cn1	2.54	-3.56	0.82	2.39		logS	CCn1cc(-c2nc3c4c(C)c(C)sc4ncn3n2)cn1
CCN(CC)P(=O)(N(CC)CC)N1CCCC1	2.06	-1.05	0.40	0.84			CCN(CC)P(=O)(N(CC)CC)N1CCCC1
CN(C)C(=S)Nc1ccccc1	1.43	-2.42	0.57	0.83			CN(C)C(=S)Nc1ccccc1
CCCN(CCC)c1c(N(=O)=O)cc(S(N)(=O)=O)cc1N(=O)=O	2.42	-4.35	0.73	1.79			CCCN(CCC)c1c([N+](=O)[O-])cc(S(N)(=O)=O)cc1[N+](=O)[O-]
Nc1ccc(S(=O)(=O)N=C2CNc3ccccc3N2)cc1	1.56	-3.44	0.75	2.39		logS	Nc1ccc(S(=O)(=O)N=c2cnc3ccccc3[nH]2)cc1
CCN(CC)Cc1cccnc1	1.08	-0.36	0.35	0.68			CCN(CC)Cc1cccnc1
O=S(=O)(c1ccccc1)c2cccc3cccnc23	2.49	-4.42	0.31	1.56			O=S(=O)(c1ccccc1)c1cccc2cccnc12
COc1ccc(CCNCC(O)COc2ccc(c3nc(C)c[nH]3)cc2OC)cc1OC	2.26	-3.96	0.34	1.43			COc1ccc(CCNCC(O)COc2ccc(-c3nc(C)c[nH]3)cc2OC)cc1OC
C#CCOc1c(Cl)cc(N=CNOCc2ccccc2)cc1Cl	4.03	-4.91	0.67	2.39		logS	C#CCOc1c(Cl)cc(N=CNOCc2ccccc2)cc1Cl
N=C(N=C(N)NCCCCCCN=C(N)N=C(N)Nc1ccc(Cl)cc1)Nc2ccc(Cl)cc2	1.76	-4.31	0.58	1.19			N=C(N=C(N)NCCCCCCN=C(N)N=C(N)Nc1ccc(Cl)cc1)Nc1ccc(Cl)cc1
NCCc1cccnc1	-0.03	-0.05	0.30	0.93			NCCc1cccnc1
Cc1ccccc1S(=O)(=O)N2C(=O)NC(=O)C2(c3ccccc3)c4ccccc4	4.03	-5.55	0.32	1.74			Cc1ccccc1S(=O)(=O)N1C(=O)NC(=O)C1(c1ccccc1)c1ccccc1
Cc1cccc2c1c(N(=O)=O)ccn2=O	1.20	-3.36	0.30	1.11			Cc1cccc2c1c([N+](=O)[O-])cc[n+]2[O-]
COC(=O)CCCO	-0.15	0.59	0.42	0.88			COC(=O)CCCO
CC1=C(N2CC2)C(=O)C(Cl)=C(N3CC3)C1=O	1.19	-1.02	0.48	0.93			CC1=C(N2CC2)C(=O)C(Cl)=C(N2CC2)C1=O
O=C1Nc2c(O)ccc(CCNCCCS(=O)(=O)CCCOCCc3ccccc3)c2S1	2.74	-4.90	0.80	1.21			O=c1[nH]c2c(O)ccc(CCNCCCS(=O)(=O)CCCOCCc3ccccc3)c2s1
CCN(CC)C(=O)NS(=O)(=O)c1ccccc1	1.34	-2.49	0.71	0.72			CCN(CC)C(=O)NS(=O)(=O)c1ccccc1
Clc1cc(Cl)c(Oc2c(Cl)cccc2Cl)cc1Cl	6.41	-7.08	0.30	1.06			Clc1cc(Cl)c(Oc2c(Cl)cccc2Cl)cc1Cl
CNc1oc(c3ccccc3)c(O)c1c2ccccc2C(F)(F)F	4.83	-4.22	0.81	0.74			CNc1oc(-c2ccccc2)c(O)c1-c1ccccc1C(F)(F)F
NC(=O)c1ccc[nH]1	-0.21	0.32	0.50	0.74			NC(=O)c1ccc[nH]1
COc1ccc(CON2C(=O)CC3(CCCC3)C2=O)cc1	2.14	-3.17	0.44	1.49			COc1ccc(CON2C(=O)CC3(CCCC3)C2=O)cc1
COc1ccc(C(=O)OCC2OC(n4cnc5c(OC)ncnc45)C2OC(=O)c3ccc(OC)cc3)cc1	3.43	-4.22	0.57	0.85			COc1ccc(C(=O)OCC2OC(n3cnc4c(OC)ncnc43)C2OC(=O)c2ccc(OC)cc2)cc1
CCCCCCN(CCCS(=O)(O[NH4])=O)(Cl)(C)C	-0.63	-4.42	1.20	2.39	logP	logS	CCCCCC[N+](C)(C)CCCS(=O)(=O)[O-]
O=CCc1ccccc1	1.75	-1.76	0.56	0.75			O=CCc1ccccc1
CN(C)C(=S)S[Fe](SC(=S)N(C)C)SC(=S)N(C)C	2.95	-4.66	1.20	2.39	logP	logS	CN(C)C(=S)S[Fe](SC(=S)N(C)C)SC(=S)N(C)C
COCC(C)OC	0.56	-0.29	0.44	0.83			COCC(C)OC
CCOC(=O)C(=Cc1cccc(OC)c1)C(C)=O	2.38	-3.66	0.30	1.05			CCOC(=O)C(=Cc1cccc(OC)c1)C(C)=O
FC(F)(Cl)Cl	2.06	-1.28	0.50	1.48			FC(F)(Cl)Cl
CCCCOc1ccc(N(=O)=O)cc1NC(C)=O	2.34	-3.73	0.36	1.48			CCCCOc1ccc([N+](=O)[O-])cc1NC(C)=O
O=C1CCC(=O)N1c2ccccc2N(=O)=O	0.56	-2.33	0.33	1.27			O=C1CCC(=O)N1c1ccccc1[N+](=O)[O-]
CC1(C)CCCC(C)(C)N1N=O	2.46	-2.14	0.52	1.40			CC1(C)CCCC(C)(C)N1N=O
O=C(O)c1cc(Cl)ccc1O	2.65	-1.93	0.33	1.16			O=C(O)c1cc(Cl)ccc1O
CC(C)(C)C(=O)C(C#N)=NNc1ccc(Cl)cc1C(F)(F)F	5.38	-5.03	0.31	2.39		logS	CC(C)(C)C(=O)C(C#N)=NNc1ccc(Cl)cc1C(F)(F)F
CC(=O)c1ccsc1	1.32	-2.16	0.30	0.69			CC(=O)c1ccsc1
c1ccc3c(c1)Cc2cccnc23	3.25	-2.01	0.64	0.96			c1ccc2c(c1)Cc1cccnc1-2
NNC(=O)Nc1ccccc1O	-0.40	-1.51	0.31	0.91			NNC(=O)Nc1ccccc1O
CNC(=O)NCCCCC(NC(C)=O)C(=O)NCc1ccccc1	0.09	-3.72	0.32	1.19			CNC(=O)NCCCCC(NC(C)=O)C(=O)NCc1ccccc1
CC(=O)N(CCO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I	-2.50	-3.18	0.30	1.31			CC(=O)N(CCO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I
OC(CNC1CCCCC1Br)Cn2ccnc2	1.01	-2.76	0.48	0.98			OC(CNC1CCCCC1Br)Cn1ccnc1
CCCCCOc1ccccc1NC(=O)OCCN2CCOCC2	3.67	-3.36	0.30	1.12			CCCCCOc1ccccc1NC(=O)OCCN1CCOCC1
COC(=O)c1ccccc1Cl	2.63	-2.73	0.33	1.13			COC(=O)c1ccccc1Cl
C=CC=CCC	2.92	-2.75	0.46	0.81			C=CC=CCC
CN=C1NC(c2ccccc2)c3ccccc3N1	3.07	-2.98	0.78	2.39		logS	CN=c1nc(-c2ccccc2)c2ccccc2[nH]1
N#CC(Cl)(Cl)Cl	1.80	-1.85	0.75	0.94			N#CC(Cl)(Cl)Cl
COc1cc(N(=O)=O)c(OC)cc1CC(C)N	1.59	-2.96	0.68	1.49			COc1cc([N+](=O)[O-])c(OC)cc1CC(C)N
